Date,1Y ,2Y,3Y,4Y,5Y,7Y,10Y
5/23/2012,3.075,3.0875,3.1125,3.1375,3.225,4.275,5.175
5/22/2012,3.05,3.075,3.0875,3.1375,3.225,4.275,5.175
5/21/2012,3.1,3.1,3.125,3.1625,3.2125,4.275,5.175
5/18/2012,3.125,3.125,3.15,3.1625,3.2375,4.275,5.175
5/17/2012,3.0625,3.0875,3.1,3.15,3.225,4.275,5.175
5/16/2012,3.0625,3.0875,3.1,3.15,3.2125,4.275,5.175
5/15/2012,3.0875,3.1,3.1,3.1375,3.2,4.275,5.175
5/14/2012,3.0875,3.0875,3.1,3.1375,3.2125,4.275,5.175
5/11/2012,3.0875,3.0875,3.1,3.1375,3.2,4.275,5.175
5/10/2012,3.0875,3.0875,3.1,3.1375,3.2,4.275,5.175
5/9/2012,3.1125,3.1125,3.1125,3.15,3.225,4.275,5.175
5/8/2012,3.1,3.1,3.1,3.15,3.2125,4.275,5.175
5/7/2012,3.1125,3.1125,3.1125,3.15,3.2125,4.275,5.175
5/4/2012,3.0875,3.0875,3.0875,3.1375,3.2125,4.275,5.175
5/3/2012,3.1,3.1,3.1,3.15,3.2125,4.275,5.175
5/2/2012,3.1375,3.0875,3.0875,3.125,3.2125,4.275,5.175
5/1/2012,3.1375,3.1375,3.15,3.1875,3.2625,4.275,5.175
4/30/2012,3.1375,3.1375,3.15,3.1875,3.2625,4.275,5.175
4/27/2012,3.125,3.125,3.1375,3.175,3.2375,4.275,5.175
4/26/2012,3.1625,3.1625,3.1625,3.2,3.2625,4.275,5.175
4/25/2012,3.1625,3.1625,3.1625,3.2,3.2625,4.275,5.175
4/24/2012,3.1625,3.1625,3.1625,3.2,3.2625,4.275,5.175
4/23/2012,3.1625,3.1625,3.1625,3.2,3.2625,4.275,5.175
4/20/2012,3.1625,3.1625,3.1625,3.2,3.2625,4.275,5.175
4/19/2012,3.1625,3.1625,3.1625,3.2125,3.275,4.275,5.175
4/18/2012,3.1625,3.1625,3.1625,3.2125,3.275,4.275,5.175
4/17/2012,3.1625,3.1625,3.1625,3.2125,3.275,4.275,5.175
4/16/2012,3.1375,3.175,3.175,3.235,3.3,4.25,5.15
4/13/2012,3.125,3.15,3.15,3.2,3.25,4.25,5.15
4/12/2012,3.1375,3.1375,3.1375,3.175,3.2375,4.225,5.125
4/11/2012,3.1375,3.1375,3.1375,3.175,3.225,4.2,5.1
4/10/2012,3.125,3.1125,3.1125,3.109,3.1875,4.2,5.1
4/9/2012,3.125,3.1,3.1,3.15,3.2125,4.2,5.1
4/6/2012,3.125,3.1,3.1,3.15,3.2125,4.2,5.1
4/5/2012,3.125,3.1,3.1,3.15,3.2125,4.2,5.1
4/4/2012,3.125,3.1,3.1,3.15,3.2125,4.2,5.1
4/3/2012,3.1,3.1,3.1,3.1,3.15,4.2,5.1
4/2/2012,3.075,3.075,3.05,3.075,3.15,4.2,5.1
3/30/2012,3.025,3.05,3.025,3.05,3.1125,4.275,5.1
3/29/2012,3,3.025,3.0375,3.075,3.125,4.2,5.1
3/28/2012,3,3.0125,3.05,3.075,3.15,4.4,5.3
3/27/2012,3,3,3,3.05,3.1,4.375,5.3
3/26/2012,3.15,3.125,3.15,3.2,3.275,4.45,5.35
3/23/2012,3.15,3.125,3.15,3.1875,3.275,4.45,5.35
3/22/2012,3.15,3.125,3.15,3.175,3.275,4.45,5.35
3/21/2012,3.15,3.15,3.15,3.175,3.275,4.4,5.35
3/20/2012,3.1,3.1,3.125,3.175,3.325,4.375,5.3
