Index,Open,High,Low,Close,Volume,Adjusted
2011-01-28,161.05,161.92,158.67,159.21,6725600,148.47
2011-01-31,159.18,162,158.68,162,7197200,151.07
2011-02-01,162.11,163.94,162,163.56,5831300,152.52
2011-02-02,163.4,163.6,162.61,163.3,3904000,152.28
2011-02-03,163.16,164.2,162.81,163.53,4683400,152.5
2011-02-04,163.48,164.14,163.22,164,3755200,152.94
2011-02-07,164.08,164.99,164.02,164.82,4928100,153.7
2011-02-08,164.82,166.25,164.32,166.05,5612600,155.46
2011-02-09,165.62,165.97,164.1,164.65,4633600,154.15
2011-02-10,163.9,165,163.18,164.09,5737800,153.62
2011-02-11,163.98,165.01,163.31,163.85,5185200,153.4
2011-02-14,164.18,164.38,162.85,163.22,4129800,152.81
2011-02-15,162.89,163.57,162.52,162.84,3768700,152.45
2011-02-16,163.33,163.6,162.75,163.4,3216000,152.98
2011-02-17,163.3,164.67,162.85,164.24,3230500,153.77
2011-02-18,164.46,164.84,164.1,164.84,4245000,154.33
2011-02-22,163.57,164.26,161.78,161.95,5209300,151.62
2011-02-23,161.81,162.68,160.14,160.18,5998100,149.96
2011-02-24,159.63,161.27,159.03,160.77,5707500,150.52
2011-02-25,161.06,162.34,160.86,162.28,4518400,151.93
2011-02-28,162.36,162.99,161.24,161.88,4773000,151.56
2011-03-01,163.15,163.15,159.88,159.97,4382800,149.77
2011-03-02,159.43,161.11,159.41,160.16,3413000,149.95
2011-03-03,161.42,164,161.27,163.48,4057800,153.05
2011-03-04,163.4,164.31,160.65,161.83,4910700,151.51
2011-03-07,161.6,162.98,158.85,159.93,5312000,149.73
2011-03-08,159.7,163.43,159.21,162.28,5384800,151.93
2011-03-09,163.47,167.72,163.28,165.86,9086600,155.28
2011-03-10,164.64,164.67,161.38,162.02,7041400,151.69
2011-03-11,162.4,163.24,160.84,162.43,4271000,152.07
2011-03-14,161.16,161.98,160.09,161.39,4300500,151.1
2011-03-15,157.35,159.64,156.88,159.02,6475800,148.88
2011-03-16,156.52,156.98,151.71,153,12195300,143.24
2011-03-17,154,154.5,152.7,154.18,7376400,144.35
2011-03-18,156.5,156.95,154.32,155.89,11450000,145.95
2011-03-21,157.64,159.63,157.07,157.68,5784000,147.62
2011-03-22,158.56,158.61,157.52,158,4311400,147.92
2011-03-23,158,160.08,157.53,159.53,4782500,149.36
2011-03-24,160.23,160.71,158.84,160.04,5145800,149.83
2011-03-25,160.98,162.74,160.76,162.18,5348100,151.84
2011-03-28,161.54,162.58,161.12,161.37,3972800,151.08
2011-03-29,161.34,163.09,161.15,162.88,3456700,152.49
2011-03-30,163.55,163.99,163.02,163.6,3394100,153.17
2011-03-31,163.4,164.06,163.07,163.07,3860800,152.67
2011-04-01,163.7,164.42,163.04,164.27,4381900,153.79
2011-04-04,164.42,164.73,163.58,164.25,3225100,153.77
2011-04-05,163.81,164.7,163.62,163.99,3612000,153.53
2011-04-06,164.34,164.75,163.81,164.04,3774800,153.58
2011-04-07,164.1,164.55,163.28,164.38,3666700,153.9
2011-04-08,164.35,164.38,163.16,164.05,3324100,153.59
2011-04-11,163.44,164,163.11,163.95,4139000,153.49
2011-04-12,163.36,163.77,162.3,163.25,3860600,152.84
2011-04-13,163.97,164.93,163.66,163.95,4181900,153.49
2011-04-14,163.84,165.36,163.16,164.97,4699100,154.45
2011-04-15,165,166.34,164.87,166.21,5287400,155.61
2011-04-18,164.64,166.16,162.86,165.94,6160700,155.36
2011-04-19,165.71,166.38,164.44,165.4,6547100,154.85
2011-04-20,163.1,165.89,162.19,164.75,10891800,154.24
2011-04-21,165.63,168.45,164.86,168.28,6158400,157.55
2011-04-25,167.65,168.77,167.23,167.67,3583800,156.98
2011-04-26,167.99,169.2,167.4,168.49,7300000,157.74
2011-04-27,168.61,170.59,168.46,170.37,5299700,159.5
2011-04-28,169.99,171.38,169.7,170.78,5087700,159.89
2011-04-29,171.1,173,170.48,170.58,5587700,159.7
2011-05-02,172.11,173.54,171.49,172.15,5396200,161.17
2011-05-03,172,173.48,171.23,172.87,5007700,161.84
2011-05-04,172.36,172.62,169.59,170.62,6890300,159.74
2011-05-05,170.47,170.87,167.5,168.46,7332000,157.72
2011-05-06,169.03,170.15,168.24,168.89,4839400,158.83
2011-05-09,168.39,169.85,168.31,169.1,3594800,159.02
2011-05-10,169.25,170.9,169.22,170.38,4934800,160.23
2011-05-11,170.3,170.52,167.82,169.5,4663200,159.4
2011-05-12,169.65,172.77,168.65,172.24,5138500,161.98
2011-05-13,171.7,172.15,169.44,169.92,5167400,159.79
2011-05-16,169.81,170.64,168.31,168.86,4662200,158.8
2011-05-17,167.85,171.41,166.53,170.5,8773200,160.34
2011-05-18,170.1,171.19,169.46,170.44,4154300,160.28
2011-05-19,170.86,171.4,169.32,170.59,3538300,160.42
2011-05-20,170.4,171.15,169.38,170.16,4869900,160.02
2011-05-23,168.58,168.69,167.07,168.26,5144000,158.23
2011-05-24,168.5,168.67,167.51,167.99,4643600,157.98
2011-05-25,167.63,168.4,167.51,167.75,3882100,157.75
2011-05-26,167.46,167.5,165.9,167.18,5771300,157.22
2011-05-27,167.91,168.47,167,167.5,3277600,157.52
2011-05-31,168.44,169.89,167.82,168.93,9123400,158.86
2011-06-01,168.9,169.58,166.5,166.56,5134600,156.63
2011-06-02,166.44,167.1,165.71,166.09,3854100,156.19
2011-06-03,164.3,165.89,164.13,165.05,5230500,155.21
2011-06-06,164.76,165.58,164.27,164.75,3619700,154.93
2011-06-07,165.11,165.24,163.61,163.69,4187000,153.94
2011-06-08,163.27,164.85,163.26,164.34,3850800,154.55
2011-06-09,165.01,165.96,164.76,164.84,4299800,155.02
2011-06-10,164.57,164.84,162.87,163.18,4683300,153.46
2011-06-13,164.44,164.46,162.73,163.17,5099200,153.45
2011-06-14,163.87,164.57,163.65,164.12,7050000,154.34
2011-06-15,162.75,163.41,161.52,162.33,5225600,152.66
2011-06-16,162.06,163.63,161.78,162.67,4861100,152.98
2011-06-17,164.24,165.1,163.58,164.44,7149700,154.64
2011-06-20,163.7,165.61,163.59,165.02,3956100,155.19
2011-06-21,165.2,166.75,164,166.22,5387300,156.31
2011-06-22,165.59,166.81,165.1,165.68,3960500,155.81
2011-06-23,164.06,166.73,163.8,166.12,5271500,156.22
2011-06-24,165.85,165.94,164.57,165.07,4402600,155.23
2011-06-27,165.74,168.24,165.21,167.62,4446700,157.63
2011-06-28,168.33,170.7,168.01,170.01,4850000,159.88
2011-06-29,170.61,170.86,169.82,170.54,3817100,160.38
2011-06-30,171.11,172.45,170.75,171.55,5105200,161.33
2011-07-01,171.61,174.65,171.49,174.54,5181700,164.14
2011-07-05,173.52,175.43,173.52,175.43,4586500,164.98
2011-07-06,175.19,177.77,175.09,177.71,5885900,167.12
2011-07-07,176.78,177.27,176.12,176.48,5905600,165.96
2011-07-08,175.49,176.49,175.01,176.49,4399900,165.97
2011-07-11,174.9,176.15,174.61,174.99,4766500,164.56
2011-07-12,174.93,175.37,173.89,174.05,5036800,163.68
2011-07-13,174.9,176.32,174,174.32,4074800,163.93
2011-07-14,174.4,176.1,173.84,174.23,4613100,163.85
2011-07-15,175.08,175.94,174.07,175.54,5347100,165.08
2011-07-18,174.73,176.46,173.58,175.28,8879700,164.84
2011-07-19,178.74,185.21,178.65,185.21,13245600,174.17
2011-07-20,183.84,184.42,183,183.65,5901100,172.71
2011-07-21,183.59,185.5,182.9,184.9,4958400,173.88
2011-07-22,184.64,185.63,184.26,185.18,4516100,174.15
2011-07-25,183.89,184.96,183.28,183.7,4987000,172.75
2011-07-26,182.94,184.05,182.65,182.93,4356200,172.03
2011-07-27,182.01,182.91,180.93,181.35,5806800,170.54
2011-07-28,181.06,183.27,180.88,181.8,4478800,170.97
2011-07-29,180.26,183.43,179.73,181.85,6665600,171.01
2011-08-01,182.6,183.69,178.5,180.75,5842700,169.98
2011-08-02,179.95,182.29,177.86,178.05,5770400,167.44
2011-08-03,177.67,179.23,175.41,178.83,6722000,168.17
2011-08-04,176.5,177.92,171.18,171.48,11022300,161.26
2011-08-05,172.1,174.22,166.52,172.98,11871800,162.67
2011-08-08,168.83,172.61,166,166.22,15804900,157
2011-08-09,167.46,171.05,162,170.61,12517600,161.14
