Date,6M ,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
4/23/2012,3.165,3.165,3.17,3.185,3.28,3.39,3.49,3.67,3.83
4/20/2012,3.165,3.17,3.18,3.2,3.2901,3.4052,3.5102,3.6902,3.8552
4/19/2012,3.165,3.17,3.185,3.205,3.305,3.415,3.53,3.705,3.875
4/18/2012,3.165,3.17,3.18,3.215,3.31,3.425,3.53,3.72,3.89
4/17/2012,3.17,3.17,3.18,3.195,3.3,3.415,3.52,3.69,3.87
4/16/2012,3.175,3.175,3.195,3.205,3.305,3.415,3.515,3.705,3.875
4/13/2012,3.18,3.175,3.195,3.2251,3.3302,3.4402,3.5402,3.7303,3.9003
4/12/2012,3.18,3.175,3.195,3.22,3.325,3.45,3.565,3.755,3.925
4/11/2012,3.175,3.17,3.19,3.22,3.32,3.43,3.555,3.74,3.925
4/10/2012,3.185,3.185,3.195,3.225,3.33,3.455,3.57,3.75,3.94
4/9/2012,3.195,3.195,3.21,3.24,3.35,3.48,3.595,3.775,3.965
4/6/2012,3.205,3.205,3.2151,3.2651,3.3752,3.5153,3.6503,3.8503,4.0303
4/5/2012,3.205,3.205,3.215,3.27,3.375,3.525,3.66,3.855,4.05
4/4/2012,3.21,3.21,3.23,3.29,3.4,3.545,3.7,3.9,4.095
4/3/2012,3.21,3.21,3.225,3.275,3.39,3.53,3.665,3.865,4.06
4/2/2012,3.215,3.215,3.225,3.265,3.4,3.54,3.665,3.865,4.06
3/30/2012,3.2,3.2,3.215,3.26,3.3849,3.5199,3.6399,3.8399,4.0399
3/29/2012,3.2,3.2,3.215,3.27,3.385,3.53,3.65,3.845,4.035
3/28/2012,3.2,3.2,3.215,3.27,3.38,3.515,3.625,3.81,3.995
3/27/2012,3.2,3.2,3.215,3.265,3.375,3.51,3.62,3.805,3.985
3/26/2012,3.2,3.2,3.215,3.265,3.365,3.5,3.625,3.82,3.995
3/23/2012,3.2,3.2,3.2001,3.2501,3.3552,3.4852,3.6053,3.8053,3.9803
3/22/2012,3.2,3.2,3.21,3.26,3.355,3.49,3.59,3.79,3.97
3/21/2012,3.2,3.2,3.215,3.295,3.405,3.53,3.67,3.855,4.045
3/20/2012,3.2,3.2,3.205,3.285,3.395,3.535,3.65,3.845,4.035
3/19/2012,3.2,3.2,3.215,3.285,3.395,3.515,3.63,3.835,4
3/16/2012,3.2,3.205,3.215,3.3102,3.4,3.5353,3.6603,3.8653,4.04
3/15/2012,3.2,3.205,3.225,3.32,3.41,3.525,3.665,3.86,4.015
3/14/2012,3.2,3.205,3.23,3.3,3.41,3.535,3.66,3.87,4.065
3/13/2012,3.185,3.185,3.195,3.235,3.335,3.445,3.56,3.76,3.955
3/12/2012,3.175,3.175,3.175,3.2,3.285,3.375,3.5,3.685,3.865
3/9/2012,3.17,3.17,3.17,3.19,3.2801,3.3752,3.4852,3.6652,3.8452
3/8/2012,3.16,3.16,3.175,3.19,3.285,3.38,3.485,3.67,3.83
3/7/2012,3.155,3.15,3.155,3.165,3.27,3.37,3.47,3.655,3.83
3/6/2012,3.18,3.175,3.165,3.17,3.265,3.36,3.465,3.645,3.835
3/5/2012,3.18,3.18,3.16,3.185,3.28,3.385,3.485,3.67,3.865
3/2/2012,3.18,3.18,3.165,3.2,3.2951,3.3952,3.5102,3.6802,3.8853
3/1/2012,3.175,3.175,3.17,3.2,3.285,3.385,3.49,3.67,3.865
2/29/2012,3.16,3.16,3.165,3.19,3.265,3.355,3.455,3.645,3.82
2/28/2012,3.15,3.15,3.15,3.17,3.25,3.34,3.44,3.63,3.805
2/27/2012,3.16,3.16,3.155,3.185,3.27,3.37,3.47,3.66,3.85
2/24/2012,3.16,3.16,3.165,3.2,3.2851,3.3752,3.4852,3.6702,3.8602
2/23/2012,3.17,3.17,3.16,3.195,3.275,3.38,3.49,3.685,3.865
2/22/2012,3.17,3.165,3.16,3.165,3.255,3.355,3.46,3.65,3.83
2/21/2012,3.15,3.14,3.115,3.125,3.21,3.31,3.42,3.61,3.79
2/20/2012,3.185,3.15,3.125,3.11,3.185,3.27,3.39,3.58,3.755
2/17/2012,3.17,3.14,3.1123,3.1024,3.16,3.2475,3.3551,3.545,3.7102
2/16/2012,3.16,3.13,3.1,3.09,3.145,3.215,3.32,3.495,3.65
2/15/2012,3.16,3.14,3.12,3.105,3.16,3.235,3.34,3.515,3.675
2/14/2012,3.15,3.13,3.115,3.1,3.165,3.235,3.345,3.51,3.675
2/13/2012,3.17,3.15,3.115,3.1,3.165,3.24,3.35,3.53,3.705
2/10/2012,3.165,3.145,3.1248,3.1099,3.17,3.235,3.3351,3.5152,3.6802
2/9/2012,3.17,3.155,3.13,3.13,3.19,3.255,3.36,3.545,3.72
2/8/2012,3.185,3.16,3.135,3.115,3.165,3.235,3.34,3.54,3.725
2/7/2012,3.145,3.115,3.085,3.06,3.105,3.185,3.28,3.475,3.655
2/6/2012,3.145,3.115,3.0848,3.0599,3.105,3.185,3.28,3.4751,3.6551
